name,salary
Trustmark National Bank,"{""Teller"":""$15.10 per hour"",""Financial Representative"":""$30,729 per year"",""Lead Teller"":""$27,676 per year""}"
TravelCenters of America,"{""Cashier"":""$11.43 per hour"",""General Manager"":""$57,525 per year"",""Porter"":""$11.28 per hour""}"
Tech-24,{}
,"{""Direct Support Professional"":""$14.02 per hour"",""Teaching Assistant"":""$14.84 per hour"",""Direct Care Worker"":""$13.75 per hour""}"
Institute for Building Technology and Safety (IBTS),"{""Inspector"":""$58,875 per year"",""Quality Assurance Inspector"":""$55,472 per year"",""Planner"":""$45,702 per year""}"
Microchip Technology,"{""Production Specialist"":""$14.43 per hour"",""Intern"":""$15.08 per hour"",""Product Engineer"":""$75,727 per year""}"
"ARAA HOME CARE, LLC",{}
Harborstone Credit Union,{}
Atlantic Broadband,"{""Customer Service Representative"":""$16.81 per hour"",""Account Executive"":""$71,023 per year"",""Call Center Representative"":""$24.10 per hour""}"
USfalcon,"{""Engineer"":""$108,782 per year"",""Program Analyst"":""$132,880 per year"",""Field Service Engineer"":""$76,774 per year""}"
,"{""Snack Bar Attendant"":""$7.75 per hour"",""Server"":""$25,648 per year"",""Host/Server"":""$10.46 per hour""}"
"Tweezerman International, LLC",{}
UC San Diego,"{""Administrative Assistant"":""$33,773 per year"",""Research Associate"":""$43,706 per year"",""Programmer Analyst"":""$93,031 per year""}"
Ocwen Financial Corporation,"{""Contract Coordinator"":""$39,613 per year"",""Customer Service Representative"":""$13.54 per hour"",""New Home Sales Consultant"":""$45,012 per year""}"
Couchbase,"{""Senior Software Engineer"":""$192,070 per year"",""Solutions Engineer"":""$140,013 per year"",""Software Engineer"":""$165,895 per year""}"
MSR-FSR LLC,"{""Production Technician"":""$14.51 per hour"",""Technician"":""$16.07 per hour"",""Entry Level Technician"":""$14.69 per hour""}"
Bayfront Health Punta Gorda,"{""Housekeeper"":""$9.00 per hour"",""Admitting Clerk"":""$15.88 per hour"",""Patient Sitter"":""$12.75 per hour""}"
,"{""Service Technician"":""$14.82 per hour"",""Teller"":""$12.72 per hour"",""Messenger"":""$15.33 per hour""}"
BONITA BAY CLUB,"{""Busser"":""$8.00 per hour"",""Operations Associate"":""$14.24 per hour"",""Room Attendant"":""$11.66 per hour""}"
,"{""Machine Operator"":""$15.23 per hour"",""Operator"":""$20.04 per hour"",""Warehouse Worker"":""$17.31 per hour""}"
The Harvest Bar,"{""Cook/Dishwasher"":""$12.89 per hour"",""Front of House Team Member"":""$11.65 per hour"",""Prep Cook"":""$11.45 per hour""}"
Warner Robins Rehabilitation Center,{}
Presbyterian Senior Living Communities,{}
SunOpta,"{""Operator"":""$22.41 per hour"",""Maintenance Technician"":""$27.00 per hour"",""Customer Service Representative"":""$15.02 per hour""}"
Cathay Bank,{}
Wemmer Family Orthodontics,{}
Bluestone Physician Services,{}
Nebo School District,{}
PBF Energy,{}
Cypress Technologies,{}
,"{""Employment Advisor"":""$70,036 per year"",""Customer Service Representative"":""$34,419 per year"",""Developer"":""$62,234 per year""}"
Zinier,{}
Ithaka,"{""Software Engineer"":""$82,643 per year"",""Senior Software Engineer"":""$99,370 per year""}"
Dreamline,{}
Pacha Soap Co.,{}
Ace Precision Machining Corp.,{}
Ponte Vedra Home Care/Staffing Division,{}
Academy of Art University,"{""Instructor"":""$27.93 per hour"",""Admission Representative"":""$54,451 per year"",""Customer Service Representative"":""$39,529 per year""}"
Peloton,"{""Field Technician"":""$18.17 per hour"",""Warehouse Worker"":""$15.98 per hour"",""Sales Associate"":""$14.31 per hour""}"
,"{""Registered Nurse"":""$111,651 per year"",""Medical Assistant"":""$39,165 per year"",""Patient Access Manager"":""$16.66 per hour""}"
,"{""Home Health Aide"":""$10.92 per hour"",""Caregiver"":""$10.80 per hour"",""Program Manager"":""$32,330 per year""}"
,"{""Sales Consultant"":""$52,046 per year"",""Sales Representative"":""$50,608 per year"",""Digital Marketer"":""$45,087 per year""}"
,"{""Sales Associate"":""$51,205 per year"",""Project Manager"":""$102,674 per year"",""Sales Manager"":""$101,560 per year""}"
BRIGHTWATER SENIOR LIVING,{}
,"{""Administrative Assistant"":""$16.78 per hour"",""Graphic Designer"":""$52,490 per year"",""Agent Assistant"":""$17.32 per hour""}"
Nations Roof,"{""Roofer"":""$20.46 per hour"",""Foreman"":""$32.53 per hour"",""Estimator"":""$69,309 per year""}"
Kymera Independent Physicians,"{""Certified Medical Assistant"":""$13.86 per hour"",""Office Worker"":""$12.34 per hour"",""Medical Biller"":""$12.67 per hour""}"
,"{""Sales Associate"":""$58,187 per year"",""Warehouse Worker"":""$14.73 per hour"",""Customer Service Representative"":""$13.06 per hour""}"
C3 Business Solutions,"{""Database Administrator"":""$117,703 per year"",""Consultant"":""$69,151 per year"",""Management Analyst"":""$28.46 per hour""}"
UWE,{}
,"{""Field Service Engineer"":""$69,808 per year"",""Engineer"":""$89,425 per year"",""Senior Program Manager"":""$139,246 per year""}"
National Interstate Insurance Company,"{""Underwriter"":""$53,243 per year"",""Claims Representative"":""$48,080 per year"",""Senior Representative"":""$64,552 per year""}"
Pain Treatment Centers of America,{}
Crosby Energy Services,"{""Lease Operator"":""$23.98 per hour"",""Merchandise Flow Team Member"":""$22.98 per hour"",""Mechanic"":""$27.51 per hour""}"
Grayson Pediatrics,"{""Medical Assistant"":""$14.12 per hour"",""Certified Medical Assistant"":""$15.71 per hour""}"
Moore Advanced Inc.,"{""Sorter"":""$10.39 per hour"",""Packer"":""$10.39 per hour"",""Lumper"":""$12.73 per hour""}"
Solenis,{}
,"{""Software Engineer"":""$170,119 per year"",""Senior Software Engineer"":""$221,659 per year"",""Director of Strategy"":""$142,936 per year""}"
,"{""Correctional Officer"":""$11.62 per hour"",""Instructor"":""$34,999 per year"",""Residential Advisor"":""$13.53 per hour""}"
deBotech Incorporated,{}
Battlefield Harley-Davidson,{}
Cumberland Hall Hospital,{}
,"{""Crew Supervisor"":""$15.29 per hour"",""Carpet Technician"":""$14.96 per hour"",""Carpet Cleaning Technician"":""$14.01 per hour""}"
Didi Hirsch Mental Health Services,"{""Therapist"":""$57,183 per year"",""Counselor"":""$38,261 per year"",""Clinical Supervisor"":""$74,754 per year""}"
ReminderMedia,"{""Account Executive"":""$74,854 per year"",""Inside Sales Account Executive"":""$73,544 per year"",""Customer Success Manager"":""$46,919 per year""}"
,"{""Driver"":""$62,594 per year"",""Delivery Driver"":""$62,450 per year"",""Warehouse Worker"":""$13.27 per hour""}"
,"{""Emt-basic"":""$14.04 per hour"",""Emergency Medical Technician"":""$12.26 per hour""}"
Digital First Media,"{""Account Executive"":""$59,258 per year"",""Senior Mailroom Clerk"":""$11.00 per hour"",""Mailroom Clerk"":""$15.30 per hour""}"
TRINIDAD BENHAM,{}
Discount Labels,{}
Par Pharmaceutical an Endo International Company,"{""Operator"":""$16.21 per hour"",""Technician"":""$17.44 per hour"",""Packaging Operator"":""$30,336 per year""}"
Atlantic Testing Laboratories,{}
Loopy Cases,"{""Team Member"":""$10.00 per hour"",""Team Supervisor"":""$14.22 per hour"",""Production Operator"":""$10.91 per hour""}"
MSI International,"{""Recruiter"":""$47,030 per year"",""Director of Nursing"":""$115,000 per year"",""Executive Recruiter"":""$49,029 per year""}"
,"{""Warehouse Worker"":""$17.33 per hour"",""Forklift Operator"":""$15.13 per hour"",""Administrative Assistant"":""$18.35 per hour""}"
,"{""Warehouse Technician"":""$38,788 per year"",""Regional Sales Manager"":""$133,484 per year"",""Warehouse Worker"":""$43,292 per year""}"
Ireland Home Based Services,"{""Case Worker"":""$32,992 per year"",""Therapist"":""$42,194 per year"",""Case Manager"":""$38,934 per year""}"
Garvey Auto Group,{}
Northwest Kidney Centers,{}
,"{""Cashier"":""$10.48 per hour"",""Team Leader"":""$11.98 per hour"",""Team Member"":""$10.48 per hour""}"
Mercy Medical,{}
Bella Ella Boutique,"{""Stylist"":""$8.00 per hour"",""Sales Associate"":""$8.11 per hour"",""Inventory Specialist"":""$9.83 per hour""}"
"Comprehensive Resources, Inc.","{""School Nurse"":""$34.88 per hour"",""Customer Service Representative"":""$16.31 per hour"",""Data Entry Clerk"":""$36,772 per year""}"
Noah's Pool Service,{}
,"{""Registered Nurse"":""$65,418 per year"",""Radiation Therapist"":""$101,000 per year"",""Medical Assistant"":""$36,115 per year""}"
All Pets Health Center,"{""Veterinary Technician"":""$30,524 per year"",""Veterinary Receptionist"":""$27,951 per year"",""Kennel Assistant"":""$9.95 per hour""}"
,"{""Customer Service Representative"":""$15.14 per hour"",""Claims Specialist"":""$46,800 per year"",""Senior Claims Specialist"":""$51,660 per year""}"
,"{""Instructor"":""$12.21 per hour"",""Tutor"":""$13.18 per hour"",""Mathematics Teacher"":""$13.50 per hour""}"
CTU Precast,{}
"Automated Machine Systems, Inc.",{}
North Carolina Central University,"{""Administrative Assistant"":""$35,656 per year"",""Facilities Technician"":""$38,687 per year"",""Environmental Specialist"":""$33,993 per year""}"
,{}
,"{""Direct Support Professional"":""$13.13 per hour"",""Supervisor"":""$48,190 per year""}"
Bill Marsh Auto Group,"{""Sales Administrator"":""$13.27 per hour"",""Sales Consultant"":""$61,648 per year"",""Automotive Technician"":""$52,757 per year""}"
"TCN Behavioral Health Services, Inc.",{}
A1 HOSPICE CARE,{}
NexGen Agency,"{""Customer Service Representative"":""$12.56 per hour"",""Technical Support Representative"":""$12.06 per hour"",""Social Media Specialist"":""$14.03 per hour""}"
French Park Care Center,"{""Nursing Assistant"":""$15.29 per hour"",""Licensed Vocational Nurse"":""$25.07 per hour"",""Registered Nurse"":""$36.16 per hour""}"
,"{""Fulfillment Associate"":""$11.70 per hour"",""Intake Specialist"":""$15.00 per hour"",""Customer Service Representative"":""$12.12 per hour""}"
The Hughes Center,{}
Herrnstein Auto Group,{}
Tegra Medical,{}
,"{""Entry Level Retail Sales Associate"":""$2,000 per month"",""Recovery Agent"":""$85,381 per year"",""Used Car Manager"":""$100,000 per year""}"
Sikkema's Equipment,{}
,{}
La Jolla Logic,"{""Quality Assurance Engineer"":""$93,837 per year"",""Security Systems Engineer"":""$87,650 per year"",""Information Systems Manager"":""$102,009 per year""}"
All in 1 S.P.O.T. with TheraTalk,"{""Speech Language Pathologist"":""$85,653 per year"",""Occupational Therapist"":""$87,957 per year"",""Office Assistant"":""$13.49 per hour""}"
LifeCare Health Partners,"{""Registered Nurse"":""$34.07 per hour"",""Nursing Assistant"":""$13.61 per hour"",""Patient Care Technician"":""$30,475 per year""}"
Plaza Resort & Spa,{}
National Bulk Equipment Inc.,{}
Seven Summits Lodge,"{""Cleaner"":""$14.41 per hour"",""Line Cook"":""$16.01 per hour"",""Front Desk Agent"":""$15.00 per hour""}"
MMR Group,"{""Apprentice Electrician"":""$19.26 per hour"",""Electrician"":""$67,779 per year"",""Journeyman Electrician"":""$30.74 per hour""}"
West Boca Medical Center,"{""Patient Access Manager"":""$38,143 per year"",""Patient Care Technician"":""$13.42 per hour"",""Floor Technician"":""$11.00 per hour""}"
360 care,"{""Medical Assistant"":""$15.45 per hour"",""Dental Assistant"":""$16.16 per hour""}"
407 Cafe,{}
Kintetsu World Express,"{""Agent"":""$17.20 per hour"",""Receiving Associate"":""$15.00 per hour"",""Sales Manager"":""$125,734 per year""}"
Human Services Association,"{""Program Aide"":""$15.00 per hour"",""Preschool Teacher"":""$16.79 per hour"",""PC Technician"":""$18.93 per hour""}"
Early Warning Services,{}
CommuniCare Health Services,"{""State Tested Nursing Assistant"":""$12.76 per hour"",""Nursing Assistant"":""$14.47 per hour"",""Nurse"":""$25.57 per hour""}"
Donnelly Mechanical Corp.,{}
Cascadia Senior Living,{}
Sargent & Lundy,{}
Cinemark,"{""Usher"":""$23,376 per year"",""Assistant Manager"":""$39,776 per year"",""Concession Worker"":""$8.62 per hour""}"
Certara,"{""Director of Business Development"":""$150,000 per year"",""Clinical Director"":""$242,250 per year""}"
St. Norbert College,{}
Hillsborough County Public Schools,"{""Teacher"":""$44,031 per year"",""Bus Driver"":""$13.65 per hour"",""Paraprofessional"":""$9.69 per hour""}"
Caromont,{}
Entech Staffing Solutions,"{""Machine Operator"":""$11.76 per hour"",""Warehouse Worker"":""$11.65 per hour"",""Administrative Assistant"":""$15.00 per hour""}"
"Gelest, Inc.","{""Chemical Operator"":""$16.97 per hour"",""Packer"":""$15.88 per hour""}"
Armor Animal Health,{}
Coffman Plumbing Services,{}
"Quest Medical, Inc.",{}
Jefferson Regional Medical Center,{}
Fiber Bond Corporation,"{""Fabricator"":""$11.62 per hour"",""Production"":""$11.61 per hour"",""Production Supervisor"":""$49,713 per year""}"
PharmaCann,{}
Beacon Health System,"{""Registered Nurse"":""$31.49 per hour"",""Technician"":""$20.61 per hour"",""Patient Access Manager"":""$500 per week""}"
Boghossian Vision,{}
San Joaquin Valley College,"{""Instructor"":""$24.57 per hour"",""Admissions Advisor"":""$21.73 per hour"",""Director"":""$82,903 per year""}"
Cash America,"{""Pawn Broker"":""$10.61 per hour"",""Customer Service Representative"":""$14.98 per hour"",""Assistant Manager"":""$14.46 per hour""}"
TopBuild,"{""Insulator"":""$17.00 per hour"",""Install"":""$47,603 per year"",""Product Specialist"":""$12.00 per hour""}"
National Pawn and Jewelry,"{""Account Manager"":""$13.55 per hour"",""Pawn Broker"":""$27,437 per year"",""Retail Sales Associate"":""$15.00 per hour""}"
Boys Town,"{""Youth Worker"":""$47,518 per year"",""Teacher"":""$202,783 per year"",""Assistant Teacher"":""$61,477 per year""}"
The Bair Foundation,"{""Social Worker"":""$35,121 per year"",""Therapist"":""$39,116 per year"",""Foster Parent"":""$35,845 per year""}"
Hueman People Solutions,"{""Registered Nurse"":""$23.10 per hour"",""Licensed Practical Nurse"":""$18.72 per hour"",""Licensed Vocational Nurse"":""$21.78 per hour""}"
Digirad,"{""Nuclear Medicine Technologist"":""$36.86 per hour"",""Technician"":""$24.06 per hour"",""Technologist"":""$15.79 per hour""}"
Micromeritics Instrument Corporation,"{""Laboratory Analyst"":""$15.53 per hour"",""Supply Chain Specialist"":""$61,622 per year"",""Assembly Technician"":""$12.78 per hour""}"
rms Surgical,{}
Rad Source Technologies,{}
DTCC,"{""Analyst"":""$53,828 per year"",""Director"":""$137,153 per year"",""Software Architect"":""$120,963 per year""}"
Inizio Interventions,"{""Behavioral Therapist"":""$17.64 per hour"",""ABA Therapist"":""$17.89 per hour"",""Behavior Technician"":""$17.89 per hour""}"
Neighbors Emergency Center,{}
Noodles & Company,"{""Shift Manager"":""$25,475 per year"",""Ambassador"":""$10.79 per hour"",""Team Member"":""$11.63 per hour""}"
Canfor,"{""Forklift Operator"":""$13.33 per hour"",""Maintenance Technician"":""$60,271 per year"",""Electrician"":""$69,822 per year""}"
Tri-State Iron and Metal Company,"{""Industrial Mechanic"":""$16.72 per hour"",""Lead Electrician"":""$27.39 per hour"",""Parts Runner"":""$10.00 per hour""}"
Therapy Specialists,"{""Certified Occupational Therapy Assistant"":""$40.95 per hour"",""Physical Therapist"":""$49.23 per hour"",""Physical Therapy Aide"":""$37.33 per hour""}"
Midwest Fiber Recycling,"{""Forklift Operator"":""$13.30 per hour"",""Local Driver"":""$17.06 per hour""}"
Barton Staffing,"{""Packer"":""$11.01 per hour"",""Sanitation Worker"":""$11.75 per hour"",""Machine Operator"":""$13.25 per hour""}"
Inland Empire Health Plan,"{""Member Services Representative"":""$16.49 per hour"",""Registered Nurse"":""$93,571 per year"",""Coordinator"":""$44,703 per year""}"
Princeton Baptist Med Ctr,{}
DeKalb School District 428,"{""Cook"":""$10.50 per hour"",""Custodian"":""$10.50 per hour""}"
Groendyke Transport,"{""Truck Driver"":""$5,200 per month"",""Driver"":""$52,619 per year"",""Transportation Coordinator"":""$62,000 per year""}"
Everglades University,"{""Admission Counselor"":""$42,498 per year"",""Admission Representative"":""$43,195 per year""}"
Sure-Dry Basement Systems,{}
NHC Knoxville,{}
TheraPlay Pediatrics,{}
Henderson Hospital,"{""Registered Nurse II"":""$67,497 per year"",""Nurse"":""$70,642 per year"",""Registered Nurse - Medical/Surgical"":""$66,445 per year""}"
Oiles America Corporation,{}
United Pacific,"{""Sales Associate"":""$12.61 per hour"",""Customer Service Associate / Cashier"":""$10.31 per hour"",""Store Manager"":""$17.95 per hour""}"
CitiMED,"{""Front Desk Agent"":""$12.96 per hour"",""Sales and Marketing Manager"":""$37,417 per year"",""Receptionist/Assistant"":""$13.00 per hour""}"
Abbott Laboratories,"{""Machine Operator"":""$40,439 per year"",""Customer Service Representative"":""$14.96 per hour"",""Operator"":""$16.81 per hour""}"
DDS Dentures + Implant Solutions,"{""Patient Coordinator"":""$12.78 per hour"",""Dental Assistant"":""$14.26 per hour"",""Dentist"":""$292,963 per year""}"
VertMarkets,{}
Student Transportation Of America,"{""Bus Driver"":""$17.77 per hour"",""Driver"":""$14.97 per hour"",""Bus Monitor"":""$10.74 per hour""}"
California Pizza Kitchen,"{""Server"":""$13.22 per hour"",""Bartender"":""$30,001 per year"",""Host/Hostess"":""$12.05 per hour""}"
Home Improvement in Milwaukee,{}
Normative Services,"{""Direct Care Worker"":""$12.02 per hour"",""Residential Staff"":""$11.50 per hour""}"
SpaceX,"{""Technician"":""$68,941 per year"",""Welder"":""$78,749 per year"",""Avionics Technician"":""$22.22 per hour""}"
Johns Hopkins University/Applied Physics Lab,"{""Engineer"":""$131,690 per year"",""Analyst"":""$131,868 per year"",""Research Scientist"":""$137,198 per year""}"
Vantage Credit Union,"{""Teller"":""$14.26 per hour"",""Phone Representative"":""$13.25 per hour"",""Financial Representative"":""$14.94 per hour""}"
ACCO Engineered Systems,"{""Plumber"":""$60.58 per hour"",""Buyer"":""$63,251 per year""}"
Alpine Power Systems,{}
Community Action Partnership Of Kern,"{""School Principal"":""$16.19 per hour"",""Custodian"":""$12.52 per hour"",""Accountant"":""$25.54 per hour""}"
,{}
Premier Aquatics,"{""Lifeguard"":""$15.10 per hour"",""Swim Instructor"":""$15.13 per hour"",""Customer Service Representative"":""$13.95 per hour""}"
Two Rivers Head Start Agency,"{""Bus Driver"":""$13.20 per hour"",""Preschool Teacher"":""$14.15 per hour""}"
Adapt,{}
The NRP Group LLC,"{""Community Manager"":""$56,444 per year"",""Leasing Specialist"":""$32,558 per year"",""Assistant Property Manager"":""$37,425 per year""}"
Cleanslate,"{""Field Representative"":""$9.42 per hour"",""Customer Service Representative"":""$11.78 per hour"",""Care Coordinator"":""$46,358 per year""}"
Northcrest Community,{}
Semtech,{}
Educators Credit Union,{}
NBGHome,{}
Burger King,"{""Crew Member"":""$9.87 per hour"",""Cashier"":""$9.96 per hour"",""Cook"":""$9.46 per hour""}"
Apex Tool Group,"{""Machine Operator"":""$32,635 per year"",""Assembler"":""$18.27 per hour"",""Machinist"":""$19.80 per hour""}"
AlphaBEST Education,"{""Zone Leader"":""$11.18 per hour"",""Site Director"":""$17.72 per hour"",""Teaching Assistant"":""$11.11 per hour""}"
City Gate Property Group,"{""Leasing Specialist"":""$33,240 per year"",""Community Director"":""$66,494 per year"",""Maintenance Supervisor"":""$70,495 per year""}"
ESG Automotive Inc.,{}
K Coe Isom,{}
Trinity Health,"{""Nursing Assistant"":""$14.38 per hour"",""Registered Nurse"":""$35.10 per hour"",""Billing Representative"":""$16.45 per hour""}"
The Rehabilitation Center at Sandalwood,{}
Wyndham Destinations,"{""Front Desk Agent"":""$10.25 per hour"",""Housekeeper"":""$9.95 per hour"",""Receptionist"":""$9.59 per hour""}"
SAVAGE,"{""Operator"":""$57,058 per year"",""Driver"":""$58,560 per year"",""Truck Driver"":""$47,455 per year""}"
McLane Company,"{""Order Picker"":""$43,671 per year"",""Driver"":""$71,650 per year"",""Truck Driver"":""$72,315 per year""}"
ATCO Structures and Logistics,{}
CARLMONT GARDENS,{}
MD Anderson Cancer Center,"{""Patient Coordinator"":""$37,971 per year"",""Administrative Assistant"":""$48,365 per year"",""Senior Administrative Assistant"":""$44,686 per year""}"
Wolfer's Home Services,"{""Lead Generation Specialist"":""$14.30 per hour"",""HVAC Technician"":""$25.10 per hour"",""Plumber"":""$32.17 per hour""}"
Great Expressions Dental Centers,"{""Dental Assistant"":""$17.78 per hour"",""Patient Coordinator"":""$16.65 per hour"",""Dental Hygienist"":""$32.81 per hour""}"
"Horizon Health Network, LLC","{""Home Health Aide"":""$10.52 per hour"",""Registered Nurse Case Manager"":""$67,307 per year"",""Registered Nurse - Home Health"":""$67,307 per year""}"
"Prior Lake Machine, Inc.","{""Machinist"":""$23.75 per hour"",""CNC Machinist"":""$23.37 per hour""}"
A Pineywoods Home Services,"{""Nursing Assistant"":""$10.59 per hour"",""Personal Care Assistant"":""$9.22 per hour"",""Field Supervisor"":""$13.29 per hour""}"
Opportunity Enterprises,"{""Direct Support Professional"":""$9.66 per hour"",""Janitor"":""$9.52 per hour""}"
Parkland Corporation,"{""Cashier"":""$11.70 per hour"",""Sales Associate"":""$11.23 per hour"",""Customer Service Associate / Cashier"":""$9.62 per hour""}"
,"{""Sales Associate"":""$7.78 per hour"",""Retail Assistant Manager"":""$9.72 per hour"",""Assistant Manager"":""$9.28 per hour""}"
American Family Insurance,"{""Customer Service Representative"":""$14.37 per hour"",""Claims Adjuster"":""$60,650 per year"",""Insurance Agent"":""$46,833 per year""}"
Ontellus,"{""Specialist"":""$16.97 per hour"",""Customer Service Representative"":""$15.06 per hour"",""Records Specialist"":""$15.45 per hour""}"
MidMichigan Health,"{""Phlebotomist"":""$27,497 per year"",""Technician"":""$44,015 per year"",""Medical Assistant"":""$14.01 per hour""}"
Johnson Electric,"{""Assembler"":""$23,628 per year"",""Material Handler"":""$12.00 per hour"",""Production Operator"":""$12.00 per hour""}"
Space Dynamics Laboratory,"{""Software Engineer"":""$67,846 per year"",""Software Test Engineer"":""$46,436 per year"",""System Engineer"":""$76,504 per year""}"
Tennessee Oncology,"{""Patient Services Representative"":""$16.15 per hour"",""Medical Assistant"":""$34,698 per year"",""Laboratory Technician"":""$42,870 per year""}"
North Campus Rehabilitation and Nursing Center,"{""Nursing Assistant"":""$12.01 per hour"",""Registered Nurse"":""$23.95 per hour"",""Personal Care Assistant"":""$9.00 per hour""}"
Rainbow Tree Company,"{""Pest Control Technician"":""$17.17 per hour"",""Lawn Technician"":""$18.60 per hour"",""Utility Worker"":""$17.60 per hour""}"
Uncle Giuseppe's Marketplace,"{""Deli Associate"":""$13.64 per hour"",""Cashier"":""$11.88 per hour"",""Bookkeeper"":""$14.28 per hour""}"
Acuity Eye Group,"{""Ophthalmic Technician"":""$22.57 per hour"",""Call Center Representative"":""$14.00 per hour"",""Patient Representative"":""$15.00 per hour""}"
"HENDERSEN-WEBB, INC.",{}
,"{""Teaching Assistant"":""$24,206 per year"",""Security Officer"":""$12.22 per hour"",""Office Assistant"":""$13.41 per hour""}"
Careage,"{""Nurse"":""$26.82 per hour"",""Nursing Assistant"":""$16.07 per hour"",""Cook"":""$17.23 per hour""}"
California Conservation Corps,"{""Corps Member"":""$1,766 per month"",""Crew Member"":""$1,883 per month"",""Crew Leader"":""$9.50 per hour""}"
IMFAB Inc,{}
Buehler's Fresh Foods,"{""Line Cook"":""$11.18 per hour"",""Bagger"":""$8.61 per hour"",""Caterer/Server"":""$12.00 per hour""}"
Builders FirstSource,"{""Truck Driver"":""$20.67 per hour"",""Forklift Operator"":""$12.84 per hour"",""Assembler"":""$11.82 per hour""}"
"Ellwood Group, Inc.","{""Production Assistant"":""$12.50 per hour"",""Maintenance Technician"":""$52,366 per year"",""Maintenance Mechanic"":""$21.91 per hour""}"
Jyve Corporation,"{""Merchandiser"":""$16.36 per hour"",""Stocking Associate"":""$16.93 per hour"",""Grocery Merchandiser"":""$15.81 per hour""}"
"Charlotte Russe, Inc","{""Sales Associate"":""$10.07 per hour"",""Supervisor"":""$9.29 per hour"",""Store Manager"":""$47,495 per year""}"
Pico Propane and Fuels,"{""Driver"":""$16.91 per hour"",""Customer Service Representative"":""$27.39 per hour""}"
Gemological Institute of America,"{""Grader"":""$36,443 per year"",""Laboratory Assistant"":""$17.50 per hour"",""Security Officer"":""$16.06 per hour""}"
Maguire Family Of Dealerships,"{""Automotive Technician"":""$23.65 per hour"",""Car Sales Executive"":""$49,969 per year"",""Title Clerk"":""$13.61 per hour""}"
Vital Decisions,{}
Providence Life Services,"{""Nursing Assistant"":""$16.96 per hour"",""Registered Nurse"":""$38.00 per hour"",""Licensed Practical Nurse"":""$29.20 per hour""}"
Lawrence Livermore National Laboratory,"{""Technician"":""$71,104 per year"",""Administrative Specialist"":""$27.50 per hour"",""Faculty"":""$12,000 per month""}"
Miyoko's Kitchen,"{""Brand Ambassador"":""$22.00 per hour"",""Sanitation Worker"":""$17.09 per hour"",""Production Lead"":""$18.94 per hour""}"
"Round One Entertainment, Inc.","{""Associate"":""$10.96 per hour"",""Attendant"":""$9.58 per hour"",""Food and Beverage Manager"":""$16.56 per hour""}"
Utah Behavior Services,"{""Behavior Technician"":""$13.06 per hour"",""Therapist"":""$49,454 per year"",""Administrative Assistant"":""$14.10 per hour""}"
Activision,"{""Quality Assurance Tester"":""$10.58 per hour"",""Game Tester"":""$12.12 per hour"",""Quality Assurance Analyst"":""$11.83 per hour""}"
ready artwork,{}
Upper Lakes Foods,"{""Warehouse Worker"":""$14.18 per hour"",""Delivery Driver"":""$62,773 per year"",""Order Picker"":""$18.75 per hour""}"
Plant Therapy,{}
Phifer Incorporated,{}
Almstead Tree & Shrub Care Co.,"{""Administrative Assistant"":""$43,089 per year"",""Payroll Accountant"":""$59,793 per year"",""Diesel Mechanic"":""$22.36 per hour""}"
Expeditors,"{""Agent"":""$35,920 per year"",""Customer Service Representative"":""$16.32 per hour"",""Warehouse Worker"":""$28,569 per year""}"
Progressive Irrigation Inc,"{""Irrigation Technician"":""$16.67 per hour"",""Lawn Technician"":""$15.02 per hour"",""Snow Plow Operator"":""$14.81 per hour""}"
Infiltrator Water Technologies LLC,{}
AmeriHealth Caritas,"{""Claims Examiner"":""$35,478 per year"",""Customer Service Representative"":""$16.55 per hour"",""Claims Representative"":""$37,536 per year""}"
Gwinnett County Public Schools,"{""Substitute Teacher"":""$93.48 per day"",""Teacher"":""$45,334 per year"",""Bus Driver"":""$29,619 per year""}"
Robert Half,"{""Administrative Assistant"":""$15.67 per hour"",""Customer Service Representative"":""$16.69 per hour"",""Accounts Payable Clerk"":""$16.03 per hour""}"
Smead Mfg. Company,{}
Tripactions,"{""Customer Success Manager"":""$140,162 per year"",""Account Executive"":""$143,479 per year"",""Travel Consultant"":""$82,006 per year""}"
Anderson International Corp.,{}
"Vision Electric Wholesale, Inc","{""Counter Sales Representative"":""$18.56 per hour"",""Inside Sales Representative"":""$22.09 per hour"",""Delivery Driver"":""$14.44 per hour""}"
Niles Nursing & Rehabilitation Center,{}
Bergstrom Automotive,{}
Siemens AG,"{""Assembler"":""$39,089 per year"",""Project Manager"":""$76,123 per year"",""Field Service Engineer"":""$88,763 per year""}"
"K-Tech Automotive, Inc",{}
Control Air Enterprises LLC,"{""Administrative Assistant"":""$14.32 per hour"",""Janitor"":""$14.00 per hour"",""Cleaner"":""$15.22 per hour""}"
Stillwater Motors,"{""Lube Technician"":""$12.85 per hour"",""Auto Body Technician"":""$60,185 per year"",""Writer"":""$58,055 per year""}"
7-Eleven,"{""Sales Associate"":""$11.13 per hour"",""Cashier"":""$9.45 per hour"",""Customer Service Associate / Cashier"":""$10.81 per hour""}"
"Applied Research Associates, Inc","{""Civil Technician"":""$15.30 per hour"",""Civil Engineer"":""$57,084 per year""}"
Tri-Pac,{}
Badger Daylighting Inc.,"{""Operator"":""$24.66 per hour"",""Hydrovac Operator"":""$22.69 per hour"",""Truck Driver"":""$22.14 per hour""}"
